species_id,species_name,generation
152,chikorita,2
153,bayleef,2
154,meganium,2
155,cyndaquil,2
156,quilava,2
157,typhlosion,2
158,totodile,2
159,croconaw,2
160,feraligatr,2
161,sentret,2
162,furret,2
163,hoothoot,2
164,noctowl,2
165,ledyba,2
166,ledian,2
167,spinarak,2
168,ariados,2
169,crobat,2
170,chinchou,2
171,lanturn,2
172,pichu,2
173,cleffa,2
174,igglybuff,2
175,togepi,2
176,togetic,2
177,natu,2
178,xatu,2
179,mareep,2
180,flaaffy,2
181,ampharos,2
182,bellossom,2
183,marill,2
184,azumarill,2
185,sudowoodo,2
186,politoed,2
187,hoppip,2
188,skiploom,2
189,jumpluff,2
190,aipom,2
191,sunkern,2
192,sunflora,2
193,yanma,2
194,wooper,2
195,quagsire,2
196,espeon,2
197,umbreon,2
198,murkrow,2
199,slowking,2
200,misdreavus,2
201,unown,2
202,wobbuffet,2
203,girafarig,2
204,pineco,2
205,forretress,2
206,dunsparce,2
207,gligar,2
208,steelix,2
209,snubbull,2
210,granbull,2
211,qwilfish,2
212,scizor,2
213,shuckle,2
214,heracross,2
215,sneasel,2
216,teddiursa,2
217,ursaring,2
218,slugma,2
219,magcargo,2
220,swinub,2
221,piloswine,2
222,corsola,2
223,remoraid,2
224,octillery,2
225,delibird,2
226,mantine,2
227,skarmory,2
228,houndour,2
229,houndoom,2
230,kingdra,2
231,phanpy,2
232,donphan,2
233,porygon2,2
234,stantler,2
235,smeargle,2
236,tyrogue,2
237,hitmontop,2
238,smoochum,2
239,elekid,2
240,magby,2
241,miltank,2
242,blissey,2
243,raikou,2
244,entei,2
245,suicune,2
246,larvitar,2
247,pupitar,2
248,tyranitar,2
249,lugia,2
250,ho-oh,2
251,celebi,2
